mean,median,std,min,max,range,argmax,argmin,max_abs_diff,mean_abs_diff,sum_abs_diff,energy,number_of_local_maxima,number_of_local_minima,split,label
0.4886013,0.496658,0.04176945,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014359373,0.27282807,4.8095174,2,2,train,1
0.48795384,0.492996,0.041643906,0.422729,0.558532,0.13580301,3,11,0.03646797,0.0146633135,0.27860296,4.7966623,2,1,train,1
0.48807082,0.49379537,0.041652463,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014676699,0.2788573,4.79896,2,1,train,1
0.48892322,0.496658,0.04190253,0.422729,0.558532,0.13580301,4,12,0.03646797,0.014698228,0.27926633,4.816034,2,2,train,1
0.51027507,0.510199,0.00046899938,0.509131,0.511572,0.002440989,6,0,0.00167799,0.0004898937,0.009307981,5.2076178,6,6,train,0
0.5026392,0.50299,0.0050914506,0.492004,0.518096,0.026092023,8,7,0.026092023,0.004722106,0.08972001,5.053443,4,4,train,0
0.49910688,0.4997095,0.007190492,0.475372,0.514129,0.038756996,9,19,0.022125006,0.0054851645,0.104218125,4.9831877,6,6,train,0
0.5089349,0.512266,0.06575789,0.415761,0.602071,0.18631,7,14,0.04699999,0.018688422,0.35508,5.2667785,1,1,train,1
0.5007092,0.4994045,0.0043538334,0.493072,0.510772,0.017699987,5,4,0.017699987,0.0057260063,0.10879412,5.014571,8,8,train,0
0.5008617,0.500549,0.0028067706,0.496582,0.509552,0.0129700005,10,9,0.0129700005,0.00314806,0.05981314,5.017406,6,6,train,0
0.49461192,0.4973055,0.037539963,0.431006,0.55628,0.125274,7,14,0.052489996,0.013138526,0.249632,4.921005,1,2,train,1
0.4944517,0.4960845,0.03753333,0.431006,0.55628,0.125274,6,13,0.052489996,0.013138526,0.249632,4.9178247,2,1,train,1
0.510565,0.5100465,0.0037177037,0.505316,0.521185,0.015868962,11,9,0.013579965,0.004706094,0.08941579,5.213808,7,6,train,0
0.51074046,0.51012254,0.0039667585,0.505469,0.523474,0.018004954,15,3,0.014953971,0.0044971453,0.08544576,5.217433,6,6,train,0
0.50302845,0.503143,0.00060249167,0.501617,0.503906,0.0022889972,6,9,0.0018309951,0.0005622098,0.010681987,5.060759,5,5,train,0
0.4917009,0.492966,0.034241214,0.428271,0.549421,0.12115002,8,14,0.035400003,0.013132114,0.24951017,4.8588443,1,2,train,1
0.49113876,0.49251536,0.03414794,0.428271,0.549421,0.12115002,6,12,0.035400003,0.012948272,0.24601716,4.847668,1,1,train,1
0.49114895,0.49159598,0.03421198,0.428271,0.549421,0.12115002,8,14,0.035400003,0.013630205,0.2589739,4.8479543,1,2,train,1
0.49064237,0.49159598,0.034163162,0.428271,0.549421,0.12115002,8,14,0.035400003,0.013589473,0.2582,4.83794,1,2,train,1
0.4906009,0.4913184,0.0341429,0.428271,0.549421,0.12115002,7,13,0.035400003,0.013064238,0.24822053,4.8371005,1,1,train,1
0.49089894,0.49159598,0.034133404,0.428271,0.549421,0.12115002,7,13,0.035400003,0.012766554,0.24256453,4.8429375,2,2,train,1
0.49150723,0.492966,0.034195848,0.428271,0.549421,0.12115002,8,14,0.035400003,0.013003218,0.24706113,4.8549743,2,2,train,1
0.490951,0.49243373,0.034129787,0.428271,0.549421,0.12115002,7,13,0.035400003,0.012767334,0.24257934,4.8439546,1,1,train,1
0.4900205,0.490526,0.034201708,0.428271,0.549421,0.12115002,6,12,0.035400003,0.0130518535,0.24798521,4.825798,2,1,train,1
0.49070185,0.49159598,0.034172844,0.428271,0.549421,0.12115002,8,14,0.035400003,0.013411172,0.25481227,4.8391223,2,2,train,1
0.509741,0.509741,0.00017409743,0.509436,0.510046,0.00060999393,14,1,0.00030601025,0.00015263181,0.0029000044,5.196719,5,5,train,0
0.51090825,0.510809,0.00020048283,0.510504,0.511419,0.0009149909,0,11,0.0004580021,0.00017673719,0.0033580065,5.220547,6,7,train,0
0.5095885,0.50997,0.0014050928,0.505011,0.511267,0.0062559843,18,19,0.0062559843,0.0011162601,0.021208942,5.1936502,6,5,train,0
0.50469923,0.504745,0.000536326,0.503601,0.505584,0.001982987,19,0,0.001067996,0.00042552385,0.008084953,5.094432,6,7,train,0
0.49972486,0.49986202,0.0031041624,0.488952,0.505737,0.016784996,4,0,0.010833979,0.0019114284,0.03631714,4.9946904,7,6,train,0
0.51059544,0.509588,0.0034233618,0.506537,0.523474,0.016936958,2,7,0.014953971,0.0028992044,0.055084884,5.214388,4,5,train,0
0.51116,0.51119053,0.0002368459,0.510809,0.511725,0.0009160042,6,14,0.0004580021,0.00019273632,0.0036619902,5.225693,6,6,train,0
0.49846607,0.498565,0.0009543976,0.495819,0.499481,0.0036619902,0,11,0.002745986,0.00090752466,0.017242968,4.969387,6,6,train,0
0.5030662,0.504981,0.04709435,0.432426,0.572654,0.140228,8,16,0.032654047,0.012680737,0.24093401,5.1058693,2,2,train,1
0.50215065,0.504981,0.047233418,0.432426,0.572654,0.140228,7,15,0.032654047,0.013805105,0.262297,5.087725,1,2,train,1
0.50154036,0.504905,0.047274712,0.432426,0.572654,0.140228,6,14,0.032654047,0.01412637,0.26840103,5.075551,1,1,train,1
0.51071,0.510657,0.0004507354,0.509741,0.51203,0.0022889972,9,18,0.0015259981,0.0003934189,0.007474959,5.2164993,4,5,train,0
0.51018345,0.510275,0.000648987,0.508215,0.511114,0.002898991,1,8,0.0019840002,0.00051394576,0.009764969,5.205753,5,5,train,0
0.50315046,0.503143,0.0006934434,0.501617,0.504211,0.0025939941,4,15,0.0018309951,0.0006263664,0.011900961,5.063218,5,5,train,0
0.4940792,0.4942925,0.0047517023,0.478881,0.500091,0.021210015,5,12,0.012513012,0.0035818408,0.068054974,4.8827367,4,4,train,0
0.49993,0.501937,0.031949766,0.437468,0.569152,0.131684,10,14,0.05539,0.015495745,0.29441917,5.019016,3,3,train,1
0.49831742,0.4948113,0.03189556,0.437468,0.569152,0.131684,7,11,0.05539,0.015698593,0.29827327,4.98675,4,5,train,1
0.4991501,0.49917823,0.031908344,0.437468,0.569152,0.131684,7,11,0.05539,0.016909584,0.3212821,5.003379,4,4,train,1
0.49947152,0.5004873,0.03180427,0.437468,0.569152,0.131684,11,15,0.05539,0.016320234,0.31008446,5.0096664,4,3,train,1
0.49864388,0.49805945,0.031979684,0.437468,0.569152,0.131684,6,10,0.05539,0.017640278,0.3351653,4.9933677,4,4,train,1
0.49773568,0.4964004,0.03229864,0.437468,0.569152,0.131684,7,11,0.05539,0.017491156,0.33233196,4.9756813,4,4,train,1
0.49780726,0.49792135,0.032431323,0.437468,0.569152,0.131684,8,12,0.05539,0.016266068,0.3090553,4.9772778,3,4,train,1
0.49818525,0.497414,0.03199263,0.437468,0.569152,0.131684,5,9,0.05539,0.016515423,0.31379303,4.984241,4,4,train,1
0.49928793,0.5009904,0.03194492,0.437468,0.569152,0.131684,11,15,0.05539,0.015326525,0.29120398,5.0061774,5,4,train,1
0.5001985,0.501937,0.03182099,0.437468,0.569152,0.131684,11,15,0.05539,0.01630713,0.30983546,5.024221,2,3,train,1
0.5106183,0.510504,0.00019222757,0.510199,0.510962,0.00076299906,3,1,0.00060999393,0.00022478793,0.004270971,5.214624,5,7,train,0
0.51079386,0.510809,0.00015927633,0.510504,0.511267,0.00076299906,11,3,0.00060999393,0.00016063137,0.0030519962,5.218209,3,5,train,0
0.50600374,0.505889,0.0004257249,0.505432,0.506805,0.001372993,17,0,0.001067996,0.0004336834,0.0082399845,5.1207995,7,6,train,0
0.4974801,0.4941249,0.03337785,0.437567,0.566656,0.129089,4,8,0.054473966,0.015913174,0.30235028,4.9720116,3,3,train,1
0.49773806,0.49208927,0.033192124,0.437567,0.566656,0.129089,4,8,0.054473966,0.015511825,0.29472467,4.9768987,4,3,train,1
0.49753848,0.49217254,0.033456735,0.437567,0.566656,0.129089,7,11,0.054473966,0.014089164,0.26769412,4.973277,3,3,train,1
0.50196373,0.50138795,0.03260525,0.437567,0.566656,0.129089,12,16,0.054473966,0.014444991,0.27445483,5.0606136,3,3,train,1
0.5026081,0.5035001,0.03260348,0.437567,0.566656,0.129089,12,16,0.054473966,0.0139760785,0.2655455,5.0735574,5,5,train,1
0.49753445,0.49100804,0.033173624,0.437567,0.566656,0.129089,4,8,0.054473966,0.014816281,0.28150934,4.972821,4,4,train,1
0.5009357,0.5021485,0.03309564,0.437567,0.566656,0.129089,9,13,0.054473966,0.015468118,0.29389423,5.040638,3,3,train,1
0.5005101,0.49803993,0.032783322,0.437567,0.566656,0.129089,11,15,0.054473966,0.015619336,0.29676738,5.0317016,3,3,train,1
0.5026028,0.50312465,0.032781105,0.437567,0.566656,0.129089,12,16,0.054473966,0.016040409,0.3047678,5.0736833,4,4,train,1
0.4977211,0.49314055,0.033267897,0.437567,0.566656,0.129089,4,8,0.054473966,0.01577238,0.29967523,4.9766617,4,3,train,1
0.5053476,0.5053555,0.000435586,0.504364,0.506195,0.0018309951,13,2,0.001067996,0.00047378792,0.00900197,5.1075277,7,7,train,0
0.5041195,0.504211,0.00047846598,0.503448,0.505126,0.00167799,19,2,0.001067996,0.00036931352,0.007016957,5.082734,5,7,train,0
0.49850416,0.4987175,0.0040633758,0.492919,0.51123,0.018310994,3,0,0.0140379965,0.0041036354,0.077969074,4.9704576,7,6,train,0
0.51035905,0.510275,0.00024826097,0.510046,0.510809,0.00076299906,9,4,0.00076299906,0.00030510363,0.005796969,5.209327,8,6,train,0
0.4809056,0.4803822,0.029629342,0.419562,0.538275,0.11871299,9,14,0.040436,0.014756021,0.2803644,4.642961,2,3,train,1
0.48228455,0.48375773,0.02950657,0.419562,0.538275,0.11871299,6,11,0.040436,0.014615552,0.27769548,4.669381,2,3,train,1
0.47977766,0.47664243,0.02953012,0.419562,0.538275,0.11871299,10,15,0.040436,0.014588865,0.27718845,4.621173,3,3,train,1
0.48064178,0.47965768,0.029417854,0.419562,0.538275,0.11871299,7,12,0.040436,0.014735937,0.2799828,4.6376386,3,3,train,1
0.48158282,0.4817114,0.029403966,0.419562,0.538275,0.11871299,6,11,0.040436,0.014166644,0.26916623,4.655732,2,3,train,1
0.48172393,0.4820197,0.02940469,0.419562,0.538275,0.11871299,7,12,0.040436,0.014029505,0.26656058,4.658452,3,2,train,1
0.48118228,0.4805979,0.029425688,0.419562,0.538275,0.11871299,9,14,0.040436,0.014246296,0.27067962,4.6480455,2,3,train,1
0.4826196,0.48510283,0.029478623,0.419562,0.538275,0.11871299,7,12,0.040436,0.014249556,0.27074155,4.675813,2,3,train,1
0.48141116,0.47991407,0.029439585,0.419562,0.538275,0.11871299,7,12,0.040436,0.014176756,0.26935837,4.6524677,3,3,train,1
0.48036113,0.4788581,0.02941109,0.419562,0.538275,0.11871299,7,12,0.040436,0.014144998,0.26875496,4.6322374,2,2,train,1
0.50972575,0.5106565,0.0042437688,0.494177,0.51615,0.021972984,12,10,0.016326994,0.004103836,0.07797289,5.196768,5,6,train,0
0.5105268,0.510504,0.0016343567,0.506231,0.514471,0.0082399845,17,19,0.0070189834,0.0013493142,0.025636971,5.2128043,5,6,train,0
0.5015736,0.505481,0.052714217,0.420791,0.576281,0.15549001,8,15,0.04500997,0.015603063,0.29645818,5.087097,1,1,train,1
0.5014312,0.505481,0.0527089,0.420791,0.576281,0.15549001,8,15,0.04500997,0.015752897,0.29930502,5.0842304,1,1,train,1
0.5003643,0.505481,0.052901287,0.420791,0.576281,0.15549001,7,14,0.04500997,0.016056525,0.30507398,5.0632596,2,1,train,1
0.50140136,0.505481,0.05270872,0.420791,0.576281,0.15549001,8,15,0.04500997,0.015784333,0.29990232,5.0836315,1,1,train,1
0.5009787,0.505481,0.052740533,0.420791,0.576281,0.15549001,7,14,0.04500997,0.015685996,0.29803392,5.0752244,1,1,train,1
0.50211346,0.50685596,0.05280068,0.420791,0.576281,0.15549001,8,15,0.04500997,0.01606109,0.3051607,5.098118,1,2,train,1
0.5016032,0.50571334,0.05271624,0.420791,0.576281,0.15549001,8,15,0.04500997,0.015571855,0.29586524,5.087696,1,1,train,1
0.50189054,0.50685596,0.052752264,0.420791,0.576281,0.15549001,8,15,0.04500997,0.01582636,0.30070084,5.0935383,1,2,train,1
0.5018493,0.50685596,0.05274527,0.420791,0.576281,0.15549001,8,15,0.04500997,0.015782971,0.29987645,5.092696,1,2,train,1
0.5020947,0.50685596,0.05279591,0.420791,0.576281,0.15549001,8,15,0.04500997,0.016041283,0.30478436,5.09773,1,2,train,1
0.5046076,0.504669,0.00051372097,0.503601,0.505432,0.0018309951,19,2,0.001067996,0.00036931352,0.007016957,5.092583,5,7,train,0
0.50244856,0.5031425,0.0031793325,0.494293,0.507263,0.0129700005,7,5,0.011139005,0.002577948,0.04898101,5.0492935,6,6,train,0
