value_sequence,finalLabel,original_index,original_len,generated_window_id,new_len
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50401794,1,36,19,0,20
0.50120416 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,1,20
0.49630746 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,2,20
0.50525202 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,3,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50183503,1,36,19,4,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50513987,1,36,19,5,20
0.50283911 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,6,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.48989004,1,36,19,7,20
0.49222974 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,8,20
0.50927737 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,9,20
0.50913100 0.51080900 0.51035100 0.51050400 0.51080900 0.51004600 0.51157200 0.51019900 0.51004600 0.51035100 0.51065700 0.51019900 0.51019900 0.51035100 0.51019900 0.51004600 0.50989400 0.51019900 0.50974100 0.51019900,0,37,20,0,20
0.50299000 0.50299000 0.50375300 0.50390600 0.50482100 0.50421100 0.50344800 0.49200400 0.51809600 0.50421100 0.50222700 0.50024400 0.50238000 0.49993800 0.49642900 0.49429300 0.50543200 0.50726300 0.50115900 0.50299000,0,38,20,0,20
0.49627600 0.49017300 0.50131200 0.49993800 0.49841300 0.50054900 0.50283800 0.49948100 0.50711000 0.51412900 0.50161700 0.49932800 0.50039600 0.49932800 0.50131200 0.50421100 0.49368200 0.49917600 0.49749700 0.47537200,0,39,20,0,20
0.50990100 0.51463100 0.52501100 0.54347100 0.57429100 0.59749100 0.60161100 0.60207100 0.59840100 0.57170100 0.52837100 0.48137100 0.43620100 0.41804100 0.41576100 0.41606100 0.42598100 0.45070100 0.47527100 0.49236100,1,40,20,0,20
0.49627600 0.50421100 0.49719200 0.49765000 0.49307200 0.51077200 0.50054900 0.50405800 0.49887000 0.50543200 0.49948100 0.49871800 0.49932800 0.50146400 0.49902300 0.50344800 0.49688700 0.50161700 0.49658200 0.50955200,0,41,20,0,20
0.50543200 0.49948100 0.49871800 0.49932800 0.50146400 0.49902300 0.50344800 0.49688700 0.50161700 0.49658200 0.50955200 0.50222700 0.49902300 0.49993800 0.50009100 0.50054900 0.50131200 0.50085400 0.50115900 0.50054900,0,42,20,0,20
0.49768700 0.49692400 0.49768700 0.50134900 0.50684200 0.52149000 0.53934300 0.55628000 0.55246600 0.54758300 0.51782800 0.46533800 0.44489100 0.43512500 0.43100600 0.44031300 0.46701600 0.48349600 0.49433000 0.49524500,1,43,21,0,20
0.49692400 0.49768700 0.50134900 0.50684200 0.52149000 0.53934300 0.55628000 0.55246600 0.54758300 0.51782800 0.46533800 0.44489100 0.43512500 0.43100600 0.44031300 0.46701600 0.48349600 0.49433000 0.49524500 0.49448200,1,43,21,1,20
0.51019900 0.51019900 0.51187700 0.50760500 0.51447100 0.51325000 0.50623100 0.51523400 0.51386100 0.50531600 0.50821500 0.52118500 0.50760500 0.51126700 0.50699400 0.50943600 0.50928300 0.51264000 0.50989400 0.50653700,0,46,20,0,20
0.51203000 0.51264000 0.51187700 0.50546900 0.50836800 0.51508200 0.50760500 0.50653700 0.51050400 0.50546900 0.50928300 0.51187700 0.50989400 0.51447100 0.51035100 0.52347400 0.50852000 0.50836800 0.50943600 0.51355600,0,48,20,0,20
0.50375300 0.50192200 0.50192200 0.50253200 0.50299000 0.50329500 0.50390600 0.50360100 0.50314300 0.50161700 0.50314300 0.50299000 0.50283800 0.50344800 0.50329500 0.50344800 0.50283800 0.50314300 0.50360100 0.50314300,0,50,20,0,20
0.50155114 0.49843855 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100,1,51,18,0,20
0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100 0.49251972 0.49622813,1,51,18,1,20
0.50129793 0.48765254 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100,1,51,18,2,20
0.49428553 0.48453329 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100,1,51,18,3,20
0.48603529 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100 0.49195580,1,51,18,4,20
0.49393791 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100 0.49001338,1,51,18,5,20
0.49771041 0.49840625 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100,1,51,18,6,20
0.49235641 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100 0.49263574,1,51,18,7,20
0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100 0.48321742 0.48316580,1,51,18,8,20
0.48438869 0.49562098 0.49251100 0.49342100 0.49602100 0.50471100 0.52089100 0.53935100 0.54942100 0.54683100 0.52547100 0.49037100 0.45497100 0.43315100 0.42827100 0.44078100 0.46199100 0.47832100 0.48686100 0.49068100,1,51,18,9,20
0.50958800 0.50943600 0.50974100 0.50974100 0.50943600 0.50958800 0.50974100 0.50958800 0.50958800 0.50989400 0.50989400 0.50974100 0.50974100 0.50989400 0.51004600 0.50974100 0.50958800 0.50989400 0.50989400 0.51004600,0,53,20,0,20
0.51141900 0.51111400 0.51126700 0.51080900 0.51096200 0.51096200 0.51080900 0.51080900 0.51096200 0.51080900 0.51080900 0.51050400 0.51080900 0.51080900 0.51096200 0.51080900 0.51096200 0.51111400 0.51065700 0.51080900,0,54,20,0,20
0.51004600 0.51019900 0.51065700 0.50989400 0.50974100 0.50989400 0.51004600 0.50897800 0.51080900 0.51004600 0.50974100 0.50989400 0.51004600 0.50989400 0.51050400 0.51019900 0.50806300 0.50684200 0.51126700 0.50501100,0,55,20,0,20
